step,velmlite_train_loss,velmlite_val_loss,velmlite_val_acc,velmlite_val_latency,velmlite_throughput,velmlite_cib_norm,velmnothoughts_train_loss,velmnothoughts_val_loss,velmnothoughts_val_acc,velmnothoughts_val_latency,velmnothoughts_throughput,velmnothoughts_cib_norm,velmnocib_train_loss,velmnocib_val_loss,velmnocib_val_acc,velmnocib_val_latency,velmnocib_throughput,velmnocib_cib_norm
0,4.208510780334473,4.2034502029418945,0.0142578125,0.008395957946777343,0.0,1.3247042179107666,4.175517129898071,4.180656766891479,0.0166015625,0.007376408576965332,0.0,1.2925346493721008,4.215000867843628,4.213677501678466,0.013671875,0.00762472152709961,0.0,1.206709361076355
25,2.7432960748672484,2.8158939361572264,0.310546875,0.007217621803283692,13320.943250302647,4.221927118301392,2.8286832094192507,2.835538387298584,0.3115234375,0.006968092918395996,14637.641142697605,4.231516313552857,2.784336304664612,2.8451951265335085,0.303125,0.007145833969116211,14092.046919688042,3.772493076324463
50,1.854806911945343,1.8490871906280517,0.5541015625,0.007794046401977539,13724.143121247322,6.36412672996521,1.8642763495445251,1.9154254913330078,0.5365234375,0.007070493698120117,15110.218877848552,6.139250230789185,1.7686508893966675,1.8592618465423585,0.5404296875,0.007325077056884765,14679.730265507245,6.084851455688477
